,CID,standard_inchi_key,smiles
142,53320538,AGVRILRKGQDLBR-GOSISDBHSA-N,"""CC(C)CN1C2=CC=CC3=C2C(=N1)CN(C3=O)C4CN5CCC4CC5"""
143,154104,AFUWQWYPPZFWCO-LBPRGKRZSA-N,"""C1CN2CCC1C(C2)NC(=O)C3=CNC4=C(C3=O)SC=C4"""
144,50942419,PPGYKWQFGNLYIY-AWEZNQCLSA-N,"""C1CN2CCC1C(C2)N3CC4=C5C(=NN4)C=CC=C5C3=O"""
145,53323198,PPGYKWQFGNLYIY-CQSZACIVSA-N,"""C1CN2CCC1C(C2)N3CC4=C5C(=NN4)C=CC=C5C3=O"""
146,53317926,FDKJLUOOFWBTDY-HNNXBMFYSA-N,"""CN1C2=CC=CC3=C2C(=N1)CN(C3=O)C4CN5CCC4CC5"""
147,53324551,FDKJLUOOFWBTDY-OAHLLOKOSA-N,"""CN1C2=CC=CC3=C2C(=N1)CN(C3=O)C4CN5CCC4CC5"""
148,53320568,ZCOOWPLAEBRGOA-HNNXBMFYSA-N,"""CN1C2=CC(=CC3=C2C(=N1)CN(C3=O)C4CN5CCC4CC5)F"""
149,53317927,JOEZRUWANPRMKY-INIZCTEOSA-N,"""CCN1C2=CC=CC3=C2C(=N1)CN(C3=O)C4CN5CCC4CC5"""
150,53321867,JOEZRUWANPRMKY-MRXNPFEDSA-N,"""CCN1C2=CC=CC3=C2C(=N1)CN(C3=O)C4CN5CCC4CC5"""
151,53317928,CKWOZHIVNRGMQI-KRWDZBQOSA-N,"""CC(C)N1C2=CC=CC3=C2C(=N1)CN(C3=O)C4CN5CCC4CC5"""
152,53324552,CKWOZHIVNRGMQI-QGZVFWFLSA-N,"""CC(C)N1C2=CC=CC3=C2C(=N1)CN(C3=O)C4CN5CCC4CC5"""
153,53325860,QOGFHRRNPRRNAI-NRFANRHFSA-N,"""C1CN2CCC1C(C2)N3CC4=NN(C5=CC=CC(=C45)C3=O)CC6=CC=CC=C6"""
154,53321868,JCMOIELRWILJKV-FQEVSTJZSA-N,"""C1CN2CCC1C(C2)N3CC4=NN(C5=CC=CC(=C45)C3=O)C6=CC=C(C=C6)F"""
155,53317929,JCMOIELRWILJKV-HXUWFJFHSA-N,"""C1CN2CCC1C(C2)N3CC4=NN(C5=CC=CC(=C45)C3=O)C6=CC=C(C=C6)F"""
